epoch,NMI,Modality,Backbone,,,,
13,0.137395456,vision,Swin-T,,,,
14,0.147207424,vision,Swin-T,,,,
15,0.135323405,vision,Swin-T,,,,
1,0.038192093,sensor,TF_6,,,,
2,0.104877979,sensor,TF_6,,,,
3,0.112550959,sensor,TF_6,,,,
4,0.106289499,sensor,TF_6,,,,
5,0.108875223,sensor,TF_6,,,,
6,0.11154525,sensor,TF_6,,,,
7,0.116250232,sensor,TF_6,,,,
8,0.12127506,sensor,TF_6,,,,
9,0.129669517,sensor,TF_6,,,,
10,0.109692864,sensor,TF_6,,,,
11,0.130698293,sensor,TF_6,,,,
12,0.111701712,sensor,TF_6,,,,
13,0.116793595,sensor,TF_6,,,,
14,0.10999237,sensor,TF_6,,,,
15,0.112279341,sensor,TF_6,,,,
1,0.094737403,vision,Swin-S,,,,
2,0.085242696,vision,Swin-S,,,,
3,0.110485919,vision,Swin-S,,,,
4,0.113867961,vision,Swin-S,,,,
5,0.115075774,vision,Swin-S,,,,
6,0.120600604,vision,Swin-S,,,,
7,0.114339292,vision,Swin-S,,,,
8,0.118323021,vision,Swin-S,,,,
9,0.110518023,vision,Swin-S,,,,
10,0.117863625,vision,Swin-S,,,,
11,0.115769953,vision,Swin-S,,,,
12,0.110003918,vision,Swin-S,,,,
13,0.108072549,vision,Swin-S,,,,
14,0.114649385,vision,Swin-S,,,,
15,0.107350677,vision,Swin-S,,,,
1,0.054874897,sensor,TF_6,,,,
2,0.120781124,sensor,TF_6,,,,
3,0.125247851,sensor,TF_6,,,,
4,0.090579174,sensor,TF_6,,,,
5,0.122987866,sensor,TF_6,,,,
6,0.107651681,sensor,TF_6,,,,
7,0.130730718,sensor,TF_6,,,,
8,0.119067878,sensor,TF_6,,,,
9,0.115685776,sensor,TF_6,,,,
10,0.125285536,sensor,TF_6,,,,
11,0.134617671,sensor,TF_6,,,,
12,0.125134483,sensor,TF_6,,,,
13,0.142182544,sensor,TF_6,,,,
14,0.121031851,sensor,TF_6,,,,
15,0.135201097,sensor,TF_6,,,,
1,0.083830833,vision,Swin-B,,,,
2,0.103545442,vision,Swin-B,,,,
3,0.0917072,vision,Swin-B,,,,
4,0.120577812,vision,Swin-B,,,,
5,0.112225257,vision,Swin-B,,,,
6,0.122401707,vision,Swin-B,,,,
7,0.118029334,vision,Swin-B,,,,
8,0.129040584,vision,Swin-B,,,,
9,0.132205769,vision,Swin-B,,,,
10,0.134417281,vision,Swin-B,,,,
11,0.124938548,vision,Swin-B,,,,
12,0.141849801,vision,Swin-B,,,,
13,0.106600516,vision,Swin-B,,,,
14,0.134433404,vision,Swin-B,,,,
15,0.130507007,vision,Swin-B,,,,
