epoch,NMI,Modality,Backbone
2,0.527335882,sensor,TF_6
3,0.526041329,sensor,TF_6
4,0.556785643,sensor,TF_6
5,0.562334597,sensor,TF_6
6,0.600530565,sensor,TF_6
7,0.602313817,sensor,TF_6
8,0.617462933,sensor,TF_6
9,0.641398549,sensor,TF_6
10,0.676332176,sensor,TF_6
11,0.689835846,sensor,TF_6
12,0.691501558,sensor,TF_6
13,0.692303598,sensor,TF_6
14,0.754006863,sensor,TF_6
